taskNo,subtopic,haveCount,needCount
1,okruglenie-s-izbytkom,1,1
1,raznye-zadachi,1,1
2,dlina,1,1
2,massa,1,1
2,obem,1,1
2,ploshchad,1,1
2,razlichnye-edinicy,1,1
2,vremya,1,1
3,velichina-po-diagramme,1,1
3,velichina-po-grafiku,1,1
4,formuly-s-bolshim-chislom-peremennyh,0,2
4,s-odnoy-dvumya-peremennymi,0,2
4,s-tremya-peremennymi,0,2
5,klassicheskoe-opredelenie-veroyatnosti,0,2
5,teoremy-o-veroyatnostyah-sobytiy,0,2
6,podbor-komplekta-ili-kombinacii,0,2
6,vybor-iz-2-3-4-vozmozhnyh,0,2
7,analiz-grafikov-funkciy,0,2
7,skorost-izmeneniya-velichin,0,2
8,analiz-utverzhdeniy,0,2
9,plan-mestnosti,0,2
9,proizvolnyy-chetyrehugolnik,0,2
9,romb,0,2
9,trapeciya,0,2
9,treugolnik,0,2
9,zadachi-na-karte,0,2
10,kvadrat,0,2
10,okruzhnost,0,2
10,pryamougolnik,0,2
10,raznye-zadachi,0,2
10,trapeciya,0,2
10,treugolnik,0,2
11,kruglye-tela,0,2
11,kub,0,2
11,mnogogranniki-rebra-grani,0,2
11,obem-sostavnogo,0,2
11,piramida,0,2
11,ploshchad-poverhnosti-sostavnogo,0,2
11,prizma,0,2
11,pryamougolnyy-parallelepiped,0,2
12,chetyrehugolniki,0,2
12,mnogougolniki,0,2
12,okruzhnost,0,2
12,treugolniki,0,2
13,cilindr,0,2
13,konus,0,2
13,parallelepiped,0,2
13,piramida,0,2
13,prizma,0,2
13,shar,0,2
14,desyatichnye-drobi,0,2
14,obyknovennye-drobi,0,2
14,raznye-zadachi,0,2
15,okruglenie,0,2
15,procenty,0,2
16,chislovye-irracionalnye-vyrazheniya,0,2
16,chislovye-logarifmicheskie,0,2
16,preobrazovaniya-trigonometricheskih,0,2
16,so-stepenyami,0,2
16,vychislenie-trigonometricheskih,0,2
17,irracionalnye,0,2
17,lineynye-kvadratnye-kubicheskie,0,2
17,logarifmicheskie,0,2
17,pokazatelnye,0,2
18,chislovye-promezhutki,0,2
18,reshenie-neravenstv,0,2
19,cifrovaya-zapis-chisla,0,2
20,dvizhenie-po-pryamoy-okruzhnosti-vode,0,2
20,procenty-smesi-splavy,0,2
20,progressii,0,2
20,sovmestnaya-rabota,0,2
21,planimetriya,0,2
21,tekstovye-zadachi,0,2
21,zadachi-o-chislah,0,2
